Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13.0,487,595,81.8,9712,4094,141,165,85.5,292,314,93.0,50,103,48.5,0,0.9,0.6,-0.9,4,26,2,0,32,Matches
Sepp van den Berg,nl NED,DF,23-348,13.0,475,532,89.3,8672,2969,150,166,90.4,274,295,92.9,39,54,72.2,0,0.5,0.2,-0.5,2,22,2,0,26,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13.0,338,470,71.9,9360,6546,52,52,100.0,191,195,97.9,93,219,42.5,0,0.0,0.0,0.0,1,9,0,0,1,Matches
Michael Kayode,it ITA,DF,21-146,12.6,398,539,73.8,6544,2093,208,231,90.0,143,181,79.0,38,102,37.3,0,1.6,1.4,-1.6,17,12,10,8,22,Matches
Thiago,br BRA,FW,24-160,12.2,139,198,70.2,1949,439,94,118,79.7,32,55,58.2,8,12,66.7,0,1.2,0.3,-1.2,6,12,6,2,13,Matches
Kevin Schade,de GER,FW,24-006,12.0,129,205,62.9,1942,576,70,101,69.3,42,62,67.7,9,16,56.3,1,1.4,1.0,-0.4,15,8,6,2,11,Matches
Jordan Henderson,eng ENG,MF,35-169,11.2,459,591,77.7,8847,2823,182,205,88.8,198,238,83.2,64,120,53.3,3,1.4,1.1,1.6,10,54,12,5,56,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,10.6,330,414,79.7,5689,1409,178,199,89.4,106,129,82.2,37,63,58.7,1,0.3,0.4,0.7,7,29,5,1,33,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,9.8,268,410,65.4,4478,1848,130,163,79.8,89,124,71.8,31,80,38.8,1,1.9,1.8,-0.9,16,35,17,4,51,Matches
Dango Ouattara,bf BFA,FW,23-295,8.8,103,209,49.3,1346,488,63,95,66.3,24,60,40.0,6,26,23.1,0,1.1,0.6,-1.1,6,9,1,0,13,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,5.3,108,150,72.0,1845,682,50,52,96.2,42,56,75.0,14,33,42.4,1,0.6,0.4,0.4,5,6,4,2,9,Matches
Kristoffer Ajer,no NOR,DF,27-230,5.2,121,171,70.8,2064,824,57,70,81.4,50,64,78.1,10,26,38.5,1,0.7,0.5,0.3,1,8,3,0,16,Matches
Aaron Hickey,sct SCO,DF,23-176,3.8,123,154,79.9,2033,680,60,66,90.9,52,65,80.0,9,18,50.0,0,0.0,0.1,0.0,0,6,3,0,9,Matches
Mathias Jensen,dk DEN,MF,29-336,3.5,128,168,76.2,2374,919,66,74,89.2,43,52,82.7,16,33,48.5,0,0.2,0.3,-0.2,3,17,4,0,21,Matches
Ethan Pinnock,jm JAM,DF,32-188,1.7,51,71,71.8,904,423,21,26,80.8,24,28,85.7,3,11,27.3,0,0.0,0.0,0.0,0,5,0,0,2,Matches
Rico Henry,jm JAM,DF,28-148,2.3,48,87,55.2,756,240,25,34,73.5,22,41,53.7,1,7,14.3,0,0.1,0.1,-0.1,1,3,1,0,3,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,1.1,21,31,67.7,339,105,12,15,80.0,3,5,60.0,5,8,62.5,0,0.0,0.0,0.0,0,0,1,0,2,Matches
Antoni Milambo,nl NED,MF,20-244,0.5,8,11,72.7,116,49,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Vitaly Janelt,de GER,MF,27-207,1.8,89,110,80.9,1447,445,42,47,89.4,37,45,82.2,7,11,63.6,0,0.1,0.2,-0.1,2,7,1,0,8,Matches
Frank Onyeka,ng NGA,MF,27-336,1.0,28,36,77.8,384,160,18,19,94.7,9,12,75.0,1,2,50.0,1,0.1,0.4,0.9,1,7,0,0,4,Matches
Reiss Nelson,eng ENG,FW,25-358,0.4,16,16,100.0,227,45,10,10,100.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,2,1,0,3,Matches
Squad Total,,,25.5,13.0,3867,5168,74.8,71028,27857,1633,1914,85.3,1683,2032,82.8,441,944,46.7,9,12.0,9.6,-3.0,97,279,79,24,338,
Opponent Total,,,26.7,13.0,5484,6820,80.4,92207,31305,2755,3055,90.2,2156,2513,85.8,459,940,48.8,10,9.1,8.7,0.9,103,426,107,28,489,
