Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13.0,595,569,24,12,0,0,0,0,0,0,0,0,487,2,1,Matches
Sepp van den Berg,nl NED,DF,23-348,13.0,532,507,24,4,0,2,0,3,0,0,0,0,475,1,2,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13.0,470,362,106,47,0,0,0,0,0,0,0,0,338,2,0,Matches
Michael Kayode,it ITA,DF,21-146,12.6,539,386,153,3,0,0,25,150,0,0,0,0,398,0,13,Matches
Thiago,br BRA,FW,24-160,12.2,198,193,5,0,1,0,4,0,0,0,0,0,139,0,2,Matches
Kevin Schade,de GER,FW,24-006,12.0,205,193,11,0,1,0,9,8,1,1,0,0,129,1,6,Matches
Jordan Henderson,eng ENG,MF,35-169,11.2,591,563,27,25,3,3,24,0,0,0,0,0,459,1,5,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,10.6,414,408,5,4,1,6,3,1,0,0,0,0,330,1,7,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,9.8,410,331,71,13,5,0,69,3,41,20,13,3,268,8,10,Matches
Dango Ouattara,bf BFA,FW,23-295,8.8,209,190,18,0,1,0,34,0,10,9,0,0,103,1,6,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,5.3,150,125,25,3,0,0,18,20,2,0,2,0,108,0,4,Matches
Kristoffer Ajer,no NOR,DF,27-230,5.2,171,152,18,0,0,1,2,18,0,0,0,0,121,1,3,Matches
Aaron Hickey,sct SCO,DF,23-176,3.8,154,125,29,5,0,0,2,24,0,0,0,0,123,0,2,Matches
Mathias Jensen,dk DEN,MF,29-336,3.5,168,149,18,3,1,2,16,6,8,6,1,0,128,1,2,Matches
Ethan Pinnock,jm JAM,DF,32-188,1.7,71,68,3,0,0,0,0,2,0,0,0,0,51,0,1,Matches
Rico Henry,jm JAM,DF,28-148,2.3,87,73,13,0,0,0,8,13,0,0,0,0,48,1,6,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,1.1,31,25,5,1,0,0,5,0,3,0,2,0,21,1,0,Matches
Antoni Milambo,nl NED,MF,20-244,0.5,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Vitaly Janelt,de GER,MF,27-207,1.8,110,101,8,4,0,0,5,1,3,2,0,0,89,1,2,Matches
Frank Onyeka,ng NGA,MF,27-336,1.0,36,36,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
Reiss Nelson,eng ENG,FW,25-358,0.4,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
Squad Total,,,25.5,13.0,5168,4583,563,124,13,14,224,249,68,38,18,3,3867,22,72,
Opponent Total,,,26.7,13.0,6820,6213,592,154,21,36,228,249,60,36,11,1,5484,15,120,
