Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13,1170.0,90.0,100.0,13.0,13,90.0,13,0,,0,1.46,21.0,20.0,1.0,0.08,,21.2,15.5,5.8,0.44,,Matches
Sepp van den Berg,nl NED,DF,23-348,13,1170.0,90.0,100.0,13.0,13,90.0,13,0,,0,1.46,21.0,20.0,1.0,0.08,,21.2,15.5,5.8,0.44,,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13,1170.0,90.0,100.0,13.0,13,90.0,13,0,,0,1.46,21.0,20.0,1.0,0.08,,21.2,15.5,5.8,0.44,,Matches
Michael Kayode,it ITA,DF,21-146,13,1132.0,87.0,96.8,12.6,13,87.0,10,0,,0,1.46,20.0,19.0,1.0,0.08,0.08,20.3,15.2,5.2,0.41,-1.01,Matches
Thiago,br BRA,FW,24-160,13,1101.0,85.0,94.1,12.2,13,85.0,8,0,,0,1.46,18.0,19.0,-1.0,-0.08,-2.69,19.5,14.9,4.7,0.38,-1.06,Matches
Kevin Schade,de GER,FW,24-006,13,1084.0,83.0,92.6,12.0,12,87.0,8,1,45.0,0,1.46,18.0,14.0,4.0,0.33,3.47,19.2,12.4,6.8,0.56,1.62,Matches
Jordan Henderson,eng ENG,MF,35-169,13,1010.0,78.0,86.3,11.2,12,82.0,5,1,22.0,0,1.46,18.0,15.0,3.0,0.27,1.39,19.7,11.9,7.8,0.69,1.81,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,13,954.0,73.0,81.5,10.6,12,79.0,6,1,6.0,0,1.46,17.0,16.0,1.0,0.09,0.09,14.4,12.6,1.9,0.18,-1.45,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,11,885.0,80.0,75.6,9.8,11,80.0,3,0,,0,1.64,15.0,13.0,2.0,0.2,0.52,15.5,11.3,4.2,0.43,-0.07,Matches
Dango Ouattara,bf BFA,FW,23-295,12,795.0,66.0,67.9,8.8,9,81.0,2,3,22.0,0,1.58,15.0,10.0,5.0,0.57,1.53,15.7,8.8,6.8,0.77,1.03,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,11,477.0,43.0,40.8,5.3,5,77.0,1,6,16.0,2,1.45,6.0,11.0,-5.0,-0.94,-1.72,6.4,8.0,-1.5,-0.29,-1.23,Matches
Kristoffer Ajer,no NOR,DF,27-230,8,468.0,59.0,40.0,5.2,5,87.0,2,3,10.0,4,1.25,7.0,7.0,0.0,0.0,-0.13,8.1,5.0,3.0,0.58,0.23,Matches
Aaron Hickey,sct SCO,DF,23-176,8,341.0,43.0,29.1,3.8,4,77.0,1,4,9.0,2,1.63,4.0,5.0,-1.0,-0.26,-0.48,6.3,2.8,3.5,0.92,0.67,Matches
Mathias Jensen,dk DEN,MF,29-336,11,314.0,29.0,26.8,3.5,3,75.0,0,8,11.0,2,1.73,5.0,7.0,-2.0,-0.57,-0.89,6.0,4.6,1.4,0.4,-0.06,Matches
Ethan Pinnock,jm JAM,DF,32-188,2,155.0,78.0,13.2,1.7,2,78.0,0,0,,9,0.5,2.0,4.0,-2.0,-1.16,-1.43,1.1,2.1,-0.9,-0.54,-1.14,Matches
Rico Henry,jm JAM,DF,28-148,9,210.0,23.0,17.9,2.3,1,87.0,0,8,15.0,4,1.78,9.0,7.0,2.0,0.86,0.95,5.9,5.7,0.2,0.1,-0.42,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,6,102.0,17.0,8.7,1.1,1,90.0,1,5,2.0,4,0.17,2.0,4.0,-2.0,-1.76,-2.02,2.1,2.0,0.1,0.09,-0.39,Matches
Antoni Milambo,nl NED,MF,20-244,1,45.0,45.0,3.8,0.5,1,45.0,0,0,,3,0.0,0.0,3.0,-3.0,-6.0,-6.32,0.3,1.4,-1.1,-2.22,-2.77,Matches
Vitaly Janelt,de GER,MF,27-207,8,162.0,20.0,13.8,1.8,0,,0,8,20.0,2,1.5,5.0,3.0,2.0,1.11,1.2,5.2,2.1,3.2,1.76,1.53,Matches
Frank Onyeka,ng NGA,MF,27-336,6,92.0,15.0,7.9,1.0,0,,0,6,15.0,7,1.5,3.0,2.0,1.0,0.98,0.98,1.5,2.0,-0.5,-0.46,-0.98,Matches
Reiss Nelson,eng ENG,FW,25-358,3,33.0,11.0,2.8,0.4,0,,0,3,11.0,4,2.0,4.0,1.0,3.0,8.18,8.34,2.4,0.8,1.5,4.16,3.83,Matches
Benjamin Arthur,eng ENG,DF,20-055,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Myles Peart-Harris,eng ENG,MF,23-076,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Mads Roerslev,dk DEN,"DF,MF",26-162,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Hákon Valdimarsson,is ISL,GK,24-051,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Squad Total,,,25.5,13,1170.0,90.0,100.0,13.0,143,84.0,86,57,14.0,60,1.46,21.0,20.0,1.0,0.08,,21.2,15.5,5.8,0.44,,
Opponent Total,,,26.7,13,1170.0,90.0,100.0,13.0,143,84.0,86,57,23.0,60,1.46,20.0,21.0,-1.0,-0.08,,15.5,21.2,-5.8,-0.44,,
