Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,0,0,0,0,2,0,0,0,0,0,0,0,22,2,0,100.0,Matches
Micky van de Ven,nl NED,DF,24-226,12.9,3,0,0,12,7,0,1,14,7,0,0,0,48,17,23,42.5,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,11.6,3,0,0,18,11,8,89,1,12,0,0,0,59,8,12,40.0,Matches
João Palhinha,pt POR,MF,30-145,11.2,3,0,0,11,16,0,2,13,37,0,0,0,38,19,15,55.9,Matches
Pedro Porro,es ESP,DF,26-079,10.8,2,0,0,12,11,0,87,8,13,0,0,0,47,6,8,42.9,Matches
Djed Spence,eng ENG,DF,25-114,9.3,2,0,0,10,4,0,18,3,10,0,0,0,32,10,10,50.0,Matches
Cristian Romero,ar ARG,DF,27-218,9.3,5,0,0,12,7,0,0,13,9,0,0,0,35,22,11,66.7,Matches
Rodrigo Bentancur,uy URU,MF,28-159,8.4,2,0,0,7,2,1,3,6,8,0,0,0,50,15,15,50.0,Matches
Richarlison,br BRA,FW,28-205,8.7,2,0,0,11,11,2,5,2,5,0,0,0,23,19,33,36.5,Matches
Pape Matar Sarr,sn SEN,MF,23-078,6.8,0,0,0,16,5,3,5,7,6,0,0,0,34,15,16,48.4,Matches
Xavi Simons,nl NED,"MF,FW",22-224,6.8,2,0,0,7,11,0,24,3,8,0,0,0,34,9,10,47.4,Matches
Lucas Bergvall,se SWE,MF,19-302,5.4,1,0,0,12,4,2,9,2,8,0,0,0,22,4,9,30.8,Matches
Destiny Udogie,it ITA,DF,23-003,5.8,1,0,0,6,9,3,6,3,8,0,0,0,33,4,5,44.4,Matches
Brennan Johnson,wls WAL,FW,24-192,5.4,2,0,0,1,4,6,20,2,7,0,0,0,10,4,3,57.1,Matches
Kevin Danso,at AUT,DF,27-073,4.4,3,0,0,3,3,0,2,3,5,0,0,0,18,19,13,59.4,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,5.3,0,0,0,1,2,0,13,0,4,0,0,0,19,2,7,22.2,Matches
Randal Kolo Muani,fr FRA,FW,26-361,3.4,1,0,0,6,2,0,1,1,4,0,0,0,10,5,7,41.7,Matches
Mathys Tel,fr FRA,FW,20-218,2.9,0,0,0,4,2,2,5,0,2,0,0,0,11,3,13,18.8,Matches
Archie Gray,eng ENG,MF,19-264,1.5,0,0,0,4,0,0,1,2,1,0,0,0,10,2,2,50.0,Matches
Dominic Solanke,eng ENG,FW,28-078,0.4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0.0,Matches
Squad Total,,,25.8,13.0,32,0,0,153,114,27,291,84,155,0,0,0,555,185,214,46.4,
Opponent Total,,,27.1,13.0,18,1,0,121,152,22,199,99,153,0,0,1,534,214,185,53.6,
