Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Micky van de Ven,nl NED,DF,24-226,13,13,1159.0,12.9,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.6,1.6,0.1,1.7,6.0,35.0,2.0,0.23,0.0,0.23,0.23,0.23,0.13,0.01,0.13,0.13,0.13,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,12,12,1042.0,11.6,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,2.1,3.6,42.0,27.0,97.0,0.17,0.35,0.52,0.17,0.52,0.13,0.18,0.31,0.13,0.31,Matches
João Palhinha,pt POR,MF,30-145,13,12,1010.0,11.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.8,5.0,33.0,11.0,0.18,0.18,0.36,0.18,0.36,0.06,0.01,0.07,0.06,0.07,Matches
Pedro Porro,es ESP,DF,26-079,13,11,968.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.4,1.5,26.0,65.0,33.0,0.0,0.09,0.09,0.0,0.09,0.02,0.13,0.14,0.02,0.14,Matches
Djed Spence,eng ENG,DF,25-114,11,10,835.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,30.0,34.0,39.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Cristian Romero,ar ARG,DF,27-218,10,9,838.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.2,0.6,2.0,42.0,0.0,0.0,0.11,0.11,0.0,0.11,0.04,0.02,0.06,0.04,0.06,Matches
Rodrigo Bentancur,uy URU,MF,28-159,12,9,753.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,1.0,4.0,30.0,13.0,0.12,0.12,0.24,0.12,0.24,0.04,0.08,0.12,0.04,0.12,Matches
Richarlison,br BRA,FW,28-205,13,8,784.0,8.7,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,2.2,2.2,1.3,3.5,8.0,14.0,36.0,0.57,0.23,0.8,0.57,0.8,0.25,0.15,0.4,0.25,0.4,Matches
Pape Matar Sarr,sn SEN,MF,23-078,12,6,612.0,6.8,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.4,12.0,21.0,25.0,0.29,0.29,0.59,0.29,0.59,0.11,0.09,0.2,0.11,0.2,Matches
Xavi Simons,nl NED,"MF,FW",22-224,10,6,608.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.1,26.0,45.0,35.0,0.0,0.15,0.15,0.0,0.15,0.07,0.09,0.16,0.07,0.16,Matches
Lucas Bergvall,se SWE,MF,19-302,10,6,489.0,5.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.9,10.0,27.0,25.0,0.18,0.37,0.55,0.18,0.55,0.11,0.05,0.16,0.11,0.16,Matches
Destiny Udogie,it ITA,DF,23-003,9,5,519.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,20.0,33.0,40.0,0.0,0.17,0.17,0.0,0.17,0.02,0.07,0.09,0.02,0.09,Matches
Brennan Johnson,wls WAL,FW,24-192,12,5,484.0,5.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.3,1.2,10.0,7.0,31.0,0.37,0.0,0.37,0.37,0.37,0.18,0.05,0.23,0.18,0.23,Matches
Kevin Danso,at AUT,DF,27-073,9,5,395.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,12,4,478.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.0,1.8,21.0,20.0,39.0,0.0,0.19,0.19,0.0,0.19,0.16,0.18,0.34,0.16,0.34,Matches
Randal Kolo Muani,fr FRA,FW,26-361,6,4,305.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.18,0.16,0.18,Matches
Mathys Tel,fr FRA,FW,20-218,9,3,257.0,2.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,4.0,4.0,14.0,0.7,0.0,0.7,0.7,0.7,0.18,0.0,0.18,0.18,0.18,Matches
Archie Gray,eng ENG,MF,19-264,3,2,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches
Dominic Solanke,eng ENG,FW,28-078,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches
Yusuf Akhamrich,eng ENG,FW,20-087,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jun'ai Byfield,eng ENG,DF,16-360,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Davies,wls WAL,"DF,MF",32-221,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonín Kinský,cz CZE,GK,22-263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Rowswell,eng ENG,DF,19-141,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dane Scarlett,eng ENG,FW,21-252,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manor Solomon,il ISR,"FW,MF",26-130,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luka Vušković,hr CRO,DF,18-280,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.8,13,143,1170.0,13.0,20.0,18.0,38.0,20.0,0.0,0.0,32.0,0.0,11.9,11.9,9.0,20.9,234.0,466.0,462.0,1.54,1.38,2.92,1.54,2.92,0.92,0.69,1.61,0.92,1.61,
Opponent Total,,,27.1,13,143,1170.0,13.0,16.0,12.0,28.0,16.0,0.0,0.0,18.0,1.0,17.5,17.5,13.8,31.3,163.0,416.0,412.0,1.23,0.92,2.15,1.23,2.15,1.35,1.06,2.41,1.35,2.41,
